probe_id,timestamp,quantidade_saltos,latencia
61985,1725062434,12,16.702
1008493,1725062491,11,12.325
14584,1725062491,13,148.159
18641,1725062467,13,102.596
19503,1725062492,10,8.361
21536,1725062517,13,17.763
32052,1725062516,8,15.993
33508,1725062501,6,11.353
12234,1725062527,10,16.616
51756,1725062525,12,2.792
53099,1725062523,6,24.595
55584,1725062520,19,85.975
64718,1725062521,13,46.892
7147,1725062551,12,12.353
1004969,1725062656,12,14.758
1004982,1725062653,7,0.548
1005475,1725062646,6,68.124
1005478,1725062647,26,189.16
1005738,1725062722,27,176.634
1005800,1725062717,15,11.212
1008770,1725062715,10,4.668
17958,1725062748,16,14.805
243,1725062741,11,27.497
28310,1725062735,8,6.13
32670,1725062741,11,37.14
51924,1725062754,6,28.629
6349,1725062754,15,120.268
61985,1725069633,9,6.709
1008493,1725069692,11,12.607
12234,1725069713,10,16.83
14584,1725069697,13,147.94
18641,1725069662,13,99.888
19503,1725069700,10,8.088
32052,1725069715,8,16.429
33508,1725069689,8,11.645
21536,1725069724,10,17.629
51756,1725069722,12,2.777
53099,1725069724,6,23.931
55584,1725069723,19,85.931
64718,1725069722,13,46.233
7147,1725069756,12,11.676
1004969,1725069847,12,14.458
1004982,1725069856,7,0.575
1005475,1725069845,6,68.099
1005478,1725069844,26,189.206
1005738,1725069922,27,176.604
1005800,1725069917,15,33.68
1008770,1725069915,10,4.904
17958,1725069950,16,14.556
243,1725069933,11,21.875
28310,1725069942,8,6.981
32670,1725069945,11,28.731
51924,1725069949,7,35.148
6349,1725069955,15,119.687
61985,1725076830,9,6.935
1008493,1725076889,11,12.352
12234,1725076913,10,17.292
14584,1725076896,13,148.224
18641,1725076863,13,100.391
19503,1725076902,10,8.082
32052,1725076918,8,16.202
33508,1725076900,6,11.498
21536,1725076920,10,15.906
51756,1725076922,12,2.723
53099,1725076926,6,23.981
55584,1725076920,19,85.992
64718,1725076920,13,45.797
7147,1725076957,12,11.898
1004969,1725077054,12,13.895
1004982,1725077043,7,0.684
1005475,1725077053,6,68.116
1005478,1725077054,26,189.238
1005738,1725077112,27,176.601
1005800,1725077123,15,12.521
1008770,1725077116,10,5.037
17958,1725077154,17,18.24
243,1725077142,9,23.049
28310,1725077135,8,7.03
32670,1725077131,11,25.843
51924,1725077155,7,35.096
6349,1725077153,9,15.587
61985,1725084033,12,16.686
1008493,1725084091,11,12.945
14584,1725084090,13,148.328
18641,1725084074,13,100.031
19503,1725084097,9,8.016
21536,1725084117,13,17.777
33508,1725084103,6,11.498
51756,1725084115,12,2.836
53099,1725084117,6,23.986
64718,1725084113,13,41.354
12234,1725084123,10,16.842
32052,1725084121,8,16.065
55584,1725084127,19,86.021
7147,1725084150,12,11.909
1004969,1725084248,12,13.895
1004982,1725084248,7,0.514
1005475,1725084254,6,177.234
1005478,1725084256,26,189.26
1005738,1725084316,27,176.625
1005800,1725084323,15,55.601
1008770,1725084310,10,4.914
17958,1725084356,17,18.219
243,1725084337,11,24.512
28310,1725084345,8,6.661
32670,1725084341,11,26.009
51924,1725084345,6,33.643
6349,1725084354,15,119.239
61985,1725091236,12,16.808
1008493,1725091296,11,12.425
14584,1725091300,13,148.15
18641,1725091271,13,100.398
