probe_id,timestamp,quantidade_saltos,latencia
243,1725076808,9,30.153
31403,1725076817,9,11.768
32670,1725076818,11,24.895
1004969,1725076914,12,14.272
1004982,1725076919,7,0.765
1005475,1725076912,6,179.017
1005478,1725076914,16,133.244
12234,1725076914,10,17.549
18641,1725076884,12,76.257
32052,1725076915,8,14.722
51756,1725076919,12,2.781
55584,1725076918,24,86.063
1005738,1725076965,27,173.352
1005800,1725076970,9,45.367
21536,1725076920,13,17.491
53099,1725076920,6,23.81
64718,1725076922,13,46.89
7147,1725076998,12,12.946
1008770,1725077089,10,3.515
17958,1725077044,10,14.82
28310,1725077044,8,6.126
51924,1725077046,5,36.554
6349,1725077074,17,224.174
1008493,1725077151,14,12.391
14584,1725077158,13,164.193
19503,1725077170,10,8.199
33508,1725077165,8,12.061
61985,1725077186,9,6.446
243,1725084008,9,21.821
31403,1725084018,7,16.559
32670,1725084008,12,24.308
1004969,1725084112,13,13.846
1005475,1725084116,6,175.903
1005478,1725084115,26,170.607
12234,1725084118,10,17.81
18641,1725084094,12,75.937
32052,1725084118,8,15.058
55584,1725084113,24,86.058
1004982,1725084120,7,0.91
1005738,1725084168,27,176.858
1005800,1725084166,9,15.067
21536,1725084126,13,17.958
51756,1725084121,12,2.926
53099,1725084123,6,29.151
64718,1725084120,13,41.101
28310,1725084231,8,6.339
7147,1725084187,12,22.524
1008770,1725084286,10,4.75
17958,1725084246,10,13.905
51924,1725084247,6,36.503
6349,1725084286,17,224.201
1008493,1725084358,14,11.758
14584,1725084361,13,68.842
19503,1725084364,10,8.019
33508,1725084370,6,11.445
61985,1725084381,9,6.786
243,1725091206,9,31.134
31403,1725091215,7,11.774
32670,1725091210,11,28.672
1004969,1725091316,12,12.78
1005475,1725091319,6,179.018
1005478,1725091316,26,201.236
18641,1725091296,12,76.275
21536,1725091316,13,18.496
32052,1725091312,8,15.434
51756,1725091314,15,77.004
55584,1725091313,24,86.36
64718,1725091314,13,57.89
1004982,1725091324,7,0.725
1005738,1725091370,27,171.055
1005800,1725091365,9,53.132
12234,1725091324,10,17.983
53099,1725091333,1,
7147,1725091393,13,13.273
1008770,1725091487,10,4.747
17958,1725091451,13,16.903
28310,1725091444,8,6.336
51924,1725091451,6,35.927
6349,1725091481,17,229.313
1008493,1725091554,14,12.186
14584,1725091559,13,75.363
19503,1725091561,10,8.709
33508,1725091566,8,8.252
61985,1725091574,9,6.89
243,1725098410,9,25.362
31403,1725098411,7,11.812
32670,1725098405,11,25.161
1004969,1725098512,12,12.959
18641,1725098501,12,76.871
51756,1725098518,15,76.737
53099,1725098516,10,
1004982,1725098521,7,0.715
1005475,1725098524,6,178.164
1005478,1725098520,26,175.911
1005738,1725098562,27,177.94
1005800,1725098573,9,18.836
12234,1725098523,10,17.073
21536,1725098526,13,17.734
32052,1725098520,8,15.883
55584,1725098520,24,86.178
64718,1725098524,13,57.698
28310,1725098633,8,5.986
7147,1725098595,13,38.375
1008770,1725098682,10,4.564
17958,1725098646,10,17.726
51924,1725098650,10,76.631
6349,1725098677,17,231.366
1008493,1725098759,14,11.952
14584,1725098763,13,163.797
19503,1725098761,10,7.996
33508,1725098760,8,8.21
61985,1725098779,9,10.755
243,1725105606,4,
31403,1725105612,7,11.707
32670,1725105605,11,27.46
1005475,1725105716,6,176.112
1005478,1725105714,26,185.015
18641,1725105684,12,76.081
21536,1725105718,11,15.93
51756,1725105718,12,2.992
53099,1725105717,6,28.255
64718,1725105715,13,56.973
1004969,1725105727,12,12.776
1004982,1725105723,7,0.801
1005738,1725105762,27,178.267
1005800,1725105769,9,71.104
12234,1725105726,10,17.74
32052,1725105723,8,15.747
55584,1725105721,24,98.395
7147,1725105794,13,16.101
1008770,1725105891,10,4.726
17958,1725105846,11,15.75
28310,1725105841,8,6.34
51924,1725105857,10,69.595
6349,1725105877,15,120.1
1008493,1725105954,6,12.66
14584,1725105961,13,69.247
19503,1725105971,10,8.346
33508,1725105961,8,11.531
61985,1725105974,9,6.657
243,1725112813,9,25.299
31403,1725112810,7,20.873
32670,1725112814,10,25.264
1004969,1725112917,12,12.924
1004982,1725112915,7,0.794
1005475,1725112911,6,179.029
18641,1725112884,12,77.946
21536,1725112917,13,17.577
32052,1725112913,8,15.131
53099,1725112915,6,23.975
55584,1725112914,24,91.464
64718,1725112916,13,33.721
1005478,1725112922,26,187.53
1005738,1725112967,18,136.692
1005800,1725112973,9,30.221
12234,1725112922,10,17.034
51756,1725112924,15,76.772
28310,1725113037,8,6.688
7147,1725112991,13,13.593
1008770,1725113082,10,5.07
17958,1725113045,10,15.713
51924,1725113054,5,36.486
6349,1725113072,15,122.592
1008493,1725113149,14,12.944
14584,1725113164,16,69.209
19503,1725113162,10,13.697
33508,1725113161,8,8.23
61985,1725113172,9,6.843
243,1725120014,9,23.704
31403,1725120007,7,11.7
32670,1725120018,12,33.995
1004969,1725120114,12,12.895
18641,1725120103,12,77.685
21536,1725120112,11,15.684
51756,1725120114,15,76.784
53099,1725120117,6,38.006
55584,1725120115,24,98.452
64718,1725120115,12,16.59
1004982,1725120122,7,0.824
1005475,1725120122,6,179.231
1005478,1725120125,26,175.893
1005738,1725120171,27,177.897
1005800,1725120166,9,14.371
12234,1725120123,10,17.976
32052,1725120122,8,14.737
7147,1725120197,11,11.178
1008770,1725120280,10,4.841
17958,1725120256,10,16.568
28310,1725120246,8,6.629
51924,1725120249,6,34.484
6349,1725120285,15,119.335
1008493,1725120348,14,11.974
14584,1725120356,19,171.97
19503,1725120357,10,8.819
33508,1725120368,8,12.049
61985,1725120381,9,6.723
243,1725127206,9,23.912
31403,1725127213,7,11.716
32670,1725127214,10,
1004969,1725127314,12,12.875
1005478,1725127315,26,184.943
18641,1725127291,12,75.945
32052,1725127313,8,15.491
53099,1725127314,6,41.454
1004982,1725127325,7,0.695
1005475,1725127320,6,198.34
1005738,1725127370,27,171.024
1005800,1725127363,9,10.644
12234,1725127326,10,17.739
21536,1725127325,11,16.707
51756,1725127321,15,76.727
55584,1725127326,24,86.372
64718,1725127325,12,17.044
28310,1725127433,8,6.011
7147,1725127395,13,18.631
1008770,1725127493,10,4.989
