probe_id,timestamp,quantidade_saltos,latencia
17958,1725422414,11,13.416
18641,1725422414,13,80.919
28310,1725422422,9,7.074
51924,1725422411,14,67.125
61985,1725422419,10,6.705
1004969,1725422510,13,13.957
1004982,1725422507,12,15.861
1005475,1725422505,6,137.614
1005478,1725422501,18,212.66
1005738,1725422508,23,186.453
1005800,1725422502,23,10.524
1008493,1725422503,13,6.221
1008770,1725422512,14,22.373
12234,1725422611,11,17.996
14584,1725422606,16,48.164
19503,1725422604,15,8.934
21536,1725422615,15,25.88
243,1725422610,13,24.089
31403,1725422604,10,12.489
32052,1725422612,9,15.384
32670,1725422610,14,37.825
33508,1725422608,10,14.681
51756,1725422608,14,76.627
53099,1725422613,13,24.356
55584,1725422606,14,91.501
64718,1725422609,17,15.633
17958,1725429619,11,14.292
18641,1725429623,13,80.769
28310,1725429613,9,7.042
51924,1725429624,14,69.899
61985,1725429618,10,7.279
1004969,1725429707,13,13.918
1004982,1725429710,12,14.938
1005475,1725429711,6,137.808
1005478,1725429706,18,212.643
1005738,1725429707,23,186.429
1005800,1725429709,23,11.292
1008493,1725429711,13,6.126
1008770,1725429705,14,21.271
12234,1725429811,11,18.0
14584,1725429803,16,48.015
19503,1725429805,15,9.336
21536,1725429806,15,25.777
243,1725429808,13,23.022
31403,1725429807,10,12.571
32052,1725429805,9,14.752
32670,1725429807,14,36.791
33508,1725429806,10,14.667
51756,1725429811,14,76.638
53099,1725429813,13,37.193
55584,1725429808,15,98.949
64718,1725429806,17,17.122
7147,1725429929,13,10.547
17958,1725436818,11,13.794
18641,1725436818,13,82.703
28310,1725436813,9,7.486
51924,1725436818,10,49.218
61985,1725436820,10,6.708
1004969,1725436908,13,13.909
1004982,1725436911,12,15.672
1005475,1725436902,6,137.992
1005478,1725436904,18,185.362
1005738,1725436904,19,180.408
1005800,1725436908,23,11.162
1008493,1725436899,13,6.09
1008770,1725436906,14,21.958
12234,1725437006,11,17.991
14584,1725437005,16,47.748
19503,1725437015,15,9.289
21536,1725437008,13,16.823
243,1725437001,13,23.816
32052,1725437009,9,14.433
32670,1725437010,14,39.223
33508,1725437014,10,14.665
51756,1725437003,14,76.719
53099,1725437014,13,37.103
55584,1725437003,15,102.726
64718,1725437015,17,17.682
17958,1725444022,11,15.918
18641,1725444010,13,82.725
28310,1725444021,9,7.386
51924,1725444024,14,85.361
61985,1725444023,10,15.009
1004969,1725444108,13,14.048
1004982,1725444109,12,15.101
1005475,1725444107,6,137.998
1005478,1725444111,18,185.394
1005738,1725444106,19,186.287
1005800,1725444104,23,48.848
1008493,1725444109,13,6.263
1008770,1725444108,14,21.409
12234,1725444213,11,17.789
14584,1725444206,16,47.577
19503,1725444211,15,8.202
21536,1725444215,13,16.815
243,1725444209,13,22.98
31403,1725444214,10,12.357
32052,1725444202,9,14.795
32670,1725444201,14,46.186
33508,1725444203,10,14.653
51756,1725444212,14,76.859
53099,1725444206,13,35.079
55584,1725444206,14,95.504
64718,1725444202,17,15.448
17958,1725451215,11,14.702
18641,1725451226,13,82.747
28310,1725451216,9,6.488
51924,1725451216,10,29.17
61985,1725451217,10,6.618
1004969,1725451303,13,13.915
1004982,1725451312,12,14.901
1005475,1725451301,6,143.901
1005478,1725451311,18,212.638
1005738,1725451304,24,180.804
1005800,1725451308,23,29.497
1008493,1725451304,13,6.122
1008770,1725451310,14,20.688
12234,1725451406,11,17.742
14584,1725451403,16,48.095
19503,1725451407,15,9.568
21536,1725451403,13,16.976
243,1725451405,10,22.947
31403,1725451410,10,12.321
32052,1725451410,9,14.627
32670,1725451412,14,37.285
33508,1725451413,10,14.665
51756,1725451417,14,76.698
53099,1725451410,13,24.391
55584,1725451410,16,120.332
64718,1725451414,17,18.067
7147,1725451523,13,10.658
17958,1725458421,11,14.76
18641,1725458413,13,82.8
28310,1725458418,7,7.179
51924,1725458415,14,69.614
61985,1725458411,10,7.726
1004969,1725458500,13,13.808
1004982,1725458508,12,15.386
1005475,1725458503,6,138.087
1005478,1725458510,23,169.97
1005738,1725458499,24,180.729
1005800,1725458502,23,10.805
1008493,1725458512,11,11.913
1008770,1725458509,14,20.784
12234,1725458614,11,18.002
14584,1725458607,16,48.176
19503,1725458606,15,8.382
21536,1725458615,13,16.984
243,1725458605,13,22.497
31403,1725458609,10,12.315
32052,1725458612,9,15.381
32670,1725458610,14,36.814
33508,1725458617,10,14.69
51756,1725458606,14,76.625
53099,1725458614,13,32.934
55584,1725458615,14,96.883
64718,1725458605,17,17.671
17958,1725465623,11,14.661
18641,1725465622,13,82.253
28310,1725465613,8,6.23
51924,1725465612,14,76.578
61985,1725465611,10,7.551
1004969,1725465709,13,13.876
1004982,1725465700,12,15.037
1005475,1725465708,6,138.367
1005478,1725465713,18,212.73
1005738,1725465700,24,180.745
1005800,1725465712,23,11.539
1008493,1725465709,13,6.374
1008770,1725465711,14,21.299
12234,1725465804,11,18.002
14584,1725465810,16,47.748
19503,1725465801,15,8.591
21536,1725465803,13,16.792
243,1725465812,13,23.714
31403,1725465804,16,44.612
32052,1725465801,9,14.721
32670,1725465807,14,43.563
33508,1725465807,10,14.681
51756,1725465808,14,76.646
53099,1725465810,13,24.374
55584,1725465810,15,102.897
64718,1725465810,17,17.247
17958,1725472810,11,13.876
18641,1725472816,13,88.92
28310,1725472810,9,6.233
51924,1725472822,14,76.564
61985,1725472821,10,6.567
1004969,1725472909,13,13.942
1004982,1725472911,12,14.903
1005475,1725472913,6,138.097
1005478,1725472913,23,165.435
1005738,1725472913,24,180.764
1005800,1725472899,23,11.301
1008493,1725472904,13,6.188
1008770,1725472913,14,21.855
12234,1725473005,11,18.013
14584,1725473001,16,47.696
19503,1725473006,15,8.103
21536,1725473005,13,16.722
243,1725473013,10,22.578
31403,1725473001,10,12.337
32052,1725473012,9,14.621
32670,1725473006,14,43.648
33508,1725473015,10,14.685
51756,1725473011,14,76.882
53099,1725473002,13,24.277
55584,1725473015,16,106.763
64718,1725473004,17,15.674
17958,1725480011,11,16.377
18641,1725480024,13,75.096
28310,1725480017,9,7.116
51924,1725480015,14,69.646
61985,1725480013,10,6.636
1004969,1725480103,13,13.91
1004982,1725480107,12,15.013
1005475,1725480104,6,111.707
1005478,1725480102,18,191.197
1005738,1725480103,24,180.717
1005800,1725480110,20,11.47
1008493,1725480113,13,6.049
1008770,1725480106,14,21.835
12234,1725480208,11,22.026
14584,1725480204,16,48.498
19503,1725480206,15,7.87
21536,1725480203,13,16.553
243,1725480214,10,22.238
31403,1725480201,14,36.157
32052,1725480207,9,15.432
32670,1725480206,14,42.927
33508,1725480206,10,14.646
51756,1725480214,14,8.984
53099,1725480201,13,24.342
55584,1725480208,16,106.879
64718,1725480201,13,33.354
17958,1725487217,11,19.562
18641,1725487218,13,74.928
28310,1725487211,7,6.11
51924,1725487222,14,68.617
61985,1725487214,10,6.926
1004969,1725487302,13,13.837
1004982,1725487310,12,15.219
1005475,1725487310,6,82.372
1005478,1725487300,23,169.701
1005738,1725487307,24,180.714
1005800,1725487303,23,13.264
1008493,1725487311,13,6.258
1008770,1725487309,14,22.191
12234,1725487404,11,18.224
14584,1725487414,16,47.798
19503,1725487411,15,8.405
21536,1725487407,13,16.856
243,1725487406,10,23.83
31403,1725487412,10,12.301
32052,1725487413,9,15.409
32670,1725487414,16,39.556
33508,1725487406,10,14.676
51756,1725487403,14,9.043
53099,1725487414,13,24.346
55584,1725487402,14,80.524
64718,1725487403,17,17.609
17958,1725494416,11,14.383
18641,1725494418,15,87.824
28310,1725494411,9,7.286
51924,1725494410,14,75.08
61985,1725494412,10,6.859
1004969,1725494500,13,13.853
1004982,1725494510,12,15.663
1005475,1725494507,6,137.723
1005478,1725494512,23,165.422
1005738,1725494502,19,187.635
1005800,1725494505,23,10.815
1008493,1725494510,13,6.191
1008770,1725494505,14,22.27
12234,1725494615,11,17.754
14584,1725494613,30,208.049
19503,1725494610,15,7.942
21536,1725494612,13,16.5
243,1725494602,13,23.291
31403,1725494603,10,12.367
32052,1725494615,9,29.925
32670,1725494614,14,39.787
33508,1725494601,10,14.752
51756,1725494603,14,8.919
53099,1725494607,13,24.346
55584,1725494607,15,88.566
64718,1725494600,17,16.037
17958,1725501619,11,15.775
18641,1725501619,13,80.698
28310,1725501612,9,6.737
51924,1725501617,14,75.585
61985,1725501619,10,7.45
1004969,1725501712,13,13.883
1004982,1725501712,12,14.503
1005475,1725501711,6,76.886
1005478,1725501700,18,212.642
1005738,1725501699,19,187.675
1005800,1725501711,23,10.808
1008493,1725501706,13,6.266
1008770,1725501713,12,20.748
12234,1725501806,11,18.177
14584,1725501803,16,47.647
19503,1725501813,15,8.078
21536,1725501810,15,25.694
243,1725501808,13,23.73
31403,1725501806,10,12.331
32052,1725501805,9,17.23
32670,1725501805,15,36.035
33508,1725501812,10,14.685
51756,1725501803,14,9.306
53099,1725501804,13,24.529
55584,1725501801,14,80.474
64718,1725501810,17,15.648
17958,1725508809,11,13.93
18641,1725508818,13,75.018
28310,1725508818,9,7.271
51924,1725508823,14,107.123
61985,1725508823,10,6.502
